timestamp,temperature,relative_humidity,pressure,energy,pm25,latitude,longitude,domain,entity_id,mask_temperature,mask_relative_humidity,mask_pressure,mask_energy,mask_pm25
2025-01-01 00:00:00+00:00,15.027669251691066,57.96802441812847,1013.068268022958,,17.601296591583985,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 01:00:00+00:00,17.094070972055114,56.8499878338805,1013.2761937917586,,17.139988035152562,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 02:00:00+00:00,18.81515531515622,55.265052968645605,1014.3409334671918,,15.134078377647356,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 03:00:00+00:00,19.655028681353222,51.74571444776428,1012.8952554881322,,19.970715521404465,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 04:00:00+00:00,21.04506256352984,47.69048659419472,1013.4657169125536,,16.000998290657623,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 05:00:00+00:00,21.670708206735355,47.066556727809775,1013.8391701639182,,16.932533701118874,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 06:00:00+00:00,22.918029885097464,48.60292704147464,1013.569294965572,,21.5990643644438,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 07:00:00+00:00,22.50537929389368,48.53127684880989,1013.7920271819256,,20.7619779270203,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 08:00:00+00:00,20.929399519228745,48.23337044932513,1013.7104970716434,,21.52503965765333,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 09:00:00+00:00,19.96150056313864,51.527045391185744,1013.5729455672,,19.796530861635805,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 10:00:00+00:00,18.955646525865813,53.23707376877183,1012.8909220065192,,22.35373082149322,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 11:00:00+00:00,16.40373716902805,58.74304540197576,1014.2768116301926,,23.605161748386017,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 12:00:00+00:00,14.93209362794464,57.40507800165987,1013.4131708994094,,21.14942768743122,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 13:00:00+00:00,13.752992998365643,64.01475558891902,1013.9848819298423,,18.59259350312943,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 14:00:00+00:00,11.86856853593556,66.69043379210359,1014.0874262584276,,24.106470907968195,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 15:00:00+00:00,11.057683106318276,66.6875620891484,1014.875143176203,,23.055780064211245,54.8,23.8,target,opensensemap_0,1,1,1,0,1
2025-01-01 16:00:00+00:00,9.181486952839435,67.1367036373794,1015.5039584305246,,20.040011866753183,54.8,23.8,target,opensensemap_0,1,1,1,0,1
